,id,rent,street_number,lat,lng,distance_meters,duration,name,type
38,3001042251,1490,Achslenstr. 5,47.4326629638672,9.41385936737061,4444.5,482.3,Haltestelle Bahnhof Appenzellerbahnen,Öffentlicher Verkehr
39,3001042300,1290,Zilstrasse 14,47.4414825439453,9.40545177459717,4540.5,517.0,Haltestelle Bahnhof Appenzellerbahnen,Öffentlicher Verkehr
40,3001052159,2000,Kirchlistrasse 1,47.4400367736816,9.37997150421143,2667.8,300.5,Haltestelle Bahnhof Appenzellerbahnen,Öffentlicher Verkehr
41,3001052160,1100,Kirchlistrasse 1,47.4400367736816,9.37997150421143,2667.8,300.5,Haltestelle Bahnhof Appenzellerbahnen,Öffentlicher Verkehr
42,3001077557,990,Grossackerstr. 10,47.4292640686035,9.39270114898682,2748.6,334.5,Haltestelle Bahnhof Appenzellerbahnen,Öffentlicher Verkehr
43,3001077667,760,Sonnrainweg 6,47.4482727050781,9.39763641357422,4078.4,426.3,Haltestelle Bahnhof Appenzellerbahnen,Öffentlicher Verkehr
44,3001077672,1270,Langgasse 163,47.4503021240234,9.39786911010742,4227.9,434.8,Haltestelle Bahnhof Appenzellerbahnen,Öffentlicher Verkehr
45,3001082656,1070,Langgasse 63,47.4384689331055,9.3895092010498,2875.1,318.8,Haltestelle Bahnhof Appenzellerbahnen,Öffentlicher Verkehr
46,3001091170,1620,Tablatstr. 12,47.4376907348633,9.42048072814941,5163.3,428.7,Haltestelle Bahnhof Appenzellerbahnen,Öffentlicher Verkehr
47,3001093133,1590,Spisergasse 27,47.4246826171875,9.37836074829102,2026.3,386.5,Haltestelle Bahnhof Appenzellerbahnen,Öffentlicher Verkehr
48,3001095313,1350,Vogelherdstrasse 19,47.4366264343262,9.42048454284668,5907.0,528.4,Haltestelle Bahnhof Appenzellerbahnen,Öffentlicher Verkehr
49,3001096690,1620,Demutstrasse 7,47.4175682067871,9.38098335266113,2169.2,215.6,Haltestelle Bahnhof Appenzellerbahnen,Öffentlicher Verkehr
50,3001096691,1590,Demutstrasse 7,47.4175682067871,9.38098335266113,2169.2,215.6,Haltestelle Bahnhof Appenzellerbahnen,Öffentlicher Verkehr
51,3001100107,1150,Glaserstrasse 3A,47.4188766479492,9.35424995422363,1347.3,158.2,Haltestelle Bahnhof Appenzellerbahnen,Öffentlicher Verkehr
