,Bezeichnung,Kategorie,lat,lon
15,Haltestelle Bahnhof Appenzellerbahnen,Öffentlicher Verkehr,47.4219477476,9.36877516595
16,Haltestelle Bahnhof Bruggen SBB,Öffentlicher Verkehr,47.4070467732,9.32973041056
17,Haltestelle Bahnhof Haggen,Öffentlicher Verkehr,47.4078229438,9.33799644174
18,Haltestelle Bahnhof St.Fiden,Öffentlicher Verkehr,47.4348029772,9.39343403623
19,Haltestelle Bahnhof Winkeln SBB,Öffentlicher Verkehr,47.4039898143,9.30090218507
